"CisControl","CheckId","Collector","Area","Name","ImpactSeverity"
"1.1.1","ENTRA-CLOUDADMIN-001","Entra","CLOUDADMIN","Ensure Administrative accounts are cloud-only","High"
"1.1.2","ENTRA-ADMIN-003","Entra","ADMIN","Ensure two emergency access accounts have been defined","Critical"
"1.1.3","ENTRA-ADMIN-001","Entra","ADMIN","Ensure that between two and four global admins are designated","Medium"
"1.1.4","ENTRA-CLOUDADMIN-002","Entra","CLOUDADMIN","Ensure administrative accounts use licenses with a reduced application footprint","Medium"
"1.2.1","ENTRA-GROUP-003","Entra","GROUP","Ensure that only organizationally managed/approved public groups exist","Medium"
"1.2.2","EXO-SHAREDMBX-001","ExchangeOnline","SHAREDMBX","Ensure sign-in to shared mailboxes is blocked","Medium"
"1.3.1","ENTRA-PASSWORD-001","Entra","PASSWORD","Ensure the 'Password expiration policy' is set to 'Set passwords to never expire'","Low"
"1.3.2","SPO-SESSION-001","SharePoint","SESSION","Ensure 'Idle session timeout' is set to '3 hours (or less)' for unmanaged devices","Medium"
"1.3.3","EXO-SHARING-001","ExchangeOnline","SHARING","Ensure 'External sharing' of calendars is not available","Low"
"1.3.4","ENTRA-ORGSETTING-001","Entra","ORGSETTING","Ensure 'User owned apps and services' is restricted","Medium"
"1.3.5","ENTRA-ORGSETTING-002","Entra","ORGSETTING","Ensure internal phishing protection for Forms is enabled","Low"
"1.3.6","EXO-LOCKBOX-001","ExchangeOnline","LOCKBOX","Ensure the customer lockbox feature is enabled","Low"
"1.3.7","ENTRA-ORGSETTING-003","Entra","ORGSETTING","Ensure 'third-party storage services' are restricted in 'Microsoft 365 on the web'","Medium"
"1.3.8","SPO-SWAY-001","SharePoint","SWAY","Ensure that Sways cannot be shared with people outside of your organization","Medium"
"1.3.9","ENTRA-ORGSETTING-004","Entra","ORGSETTING","Ensure shared bookings pages are restricted to select users","Low"
"2.1.1","DEFENDER-SAFELINKS-001","Defender","SAFELINKS","Ensure Safe Links for Office Applications is Enabled","High"
"2.1.2","DEFENDER-ANTIMALWARE-001","Defender","ANTIMALWARE","Ensure the Common Attachment Types Filter is enabled","Medium"
"2.1.3","DEFENDER-ANTIMALWARE-002","Defender","ANTIMALWARE","Ensure notifications for internal users sending malware is Enabled","Medium"
"2.1.4","DEFENDER-SAFEATTACH-001","Defender","SAFEATTACH","Ensure Safe Attachments policy is enabled","High"
"2.1.5","DEFENDER-SAFEATTACH-002","Defender","SAFEATTACH","Ensure Safe Attachments for SharePoint OneDrive and Microsoft Teams is Enabled","Medium"
"2.1.6","DEFENDER-ANTISPAM-001","Defender","ANTISPAM","Ensure Exchange Online Spam Policies are set to notify administrators","Medium"
"2.1.7","DEFENDER-ANTIPHISH-001","Defender","ANTIPHISH","Ensure that an anti-phishing policy has been created","Medium"
"2.1.8","DNS-SPF-001","DNS","SPF","Ensure that SPF records are published for all Exchange Domains","High"
"2.1.9","DNS-DKIM-001","DNS","DKIM","Ensure that DKIM is enabled for all Exchange Online Domains","Low"
"2.1.10","DNS-DMARC-001","DNS","DMARC","Ensure DMARC Records for all Exchange Online domains are published","High"
"2.1.11","DEFENDER-MALWARE-002","Defender","MALWARE","Ensure comprehensive attachment filtering is applied","Medium"
"2.1.12","EXO-CONNFILTER-001","ExchangeOnline","CONNFILTER","Ensure the connection filter IP allow list is not used","High"
"2.1.13","EXO-CONNFILTER-002","ExchangeOnline","CONNFILTER","Ensure the connection filter safe list is off","Medium"
"2.1.14","DEFENDER-ANTISPAM-002","Defender","ANTISPAM","Ensure inbound anti-spam policies do not contain allowed domains","High"
"2.1.15","DEFENDER-OUTBOUND-001","Defender","OUTBOUND","Ensure outbound anti-spam message limits are in place","Medium"
"2.4.1","DEFENDER-PRIORITY-001","Defender","PRIORITY","Ensure Priority account protection is enabled and configured","Medium"
"2.4.2","DEFENDER-PRIORITY-002","Defender","PRIORITY","Ensure Priority accounts have 'Strict protection' presets applied","Medium"
