checkId,name,category,collector,nist80053,matchQuality,autoScfPrimary,autoScfDomain,autoScfControlName,autoScfWeighting,autoScfAdditional,unmatchedNist,manualOverridePrimary,manualOverrideAdditional,reviewNotes
ENTRA-CLOUDADMIN-001,Ensure Administrative accounts are cloud-only,CLOUDADMIN,Entra,AC-6(5);AC-2,FULL,IAC-21.3,Identification & Authentication,Does the organization restrict the assignment of privileged accounts to management-approved personnel and/or roles?,10,IAC-15;IAC-07.2;NET-12;TDA-18,,,,
ENTRA-SYNCADMIN-001,On-premises synced admin accounts (compromise path),SYNCADMIN,StrykerReadiness,AC-6(5);AC-2,FULL,IAC-21.3,Identification & Authentication,Does the organization restrict the assignment of privileged accounts to management-approved personnel and/or roles?,10,IAC-15;IAC-07.2;NET-12;TDA-18,,,,
ENTRA-ADMIN-003,Ensure two emergency access accounts have been defined,ADMIN,Entra,AC-2;AC-2(2),FULL,IAC-15.2,Identification & Authentication,Does the organization use automated mechanisms to disable or remove temporary and emergency accounts after an organizati,9,IAC-15;IAC-07.2;NET-12;TDA-18,,,,
ENTRA-ADMIN-001,Ensure that between two and four global admins are designated,ADMIN,Entra,AC-6(5),FULL,IAC-21.3,Identification & Authentication,Does the organization restrict the assignment of privileged accounts to management-approved personnel and/or roles?,10,,,,,
ENTRA-BREAKGLASS-001,No break-glass emergency access account detected,BREAKGLASS,StrykerReadiness,AC-2(2);CP-2,FULL,IAC-15.2,Identification & Authentication,Does the organization use automated mechanisms to disable or remove temporary and emergency accounts after an organizati,9,BCD-06;BCD-01,,,,
ENTRA-CLOUDADMIN-002,Ensure administrative accounts use licenses with a reduced application footprint,CLOUDADMIN,Entra,AC-6;AC-6(5),FULL,IAC-21.3,Identification & Authentication,Does the organization restrict the assignment of privileged accounts to management-approved personnel and/or roles?,10,IAC-21;IAC-20,,,,
ENTRA-GROUP-003,Ensure that only organizationally managed/approved public groups exist,GROUP,Entra,AC-6(10);CM-5,FULL,END-03.2,Endpoint Security,"Does the organization define, document, approve and enforce access restrictions associated with changes to Technology As",8,IAC-21.5;CHG-04,,,,
EXO-SHAREDMBX-001,Ensure sign-in to shared mailboxes is blocked,SHAREDMBX,ExchangeOnline,AC-2;AC-3,FULL,IAC-15,Identification & Authentication,"Does the organization proactively govern account management of individual, group, system, service, application, guest an",10,IAC-07.2;IAC-20;NET-12;TDA-18,,,,
ENTRA-PASSWORD-001,Ensure the 'Password expiration policy' is set to 'Set passwords to never expire',PASSWORD,Entra,IA-5(1),FULL,IAC-10.1,Identification & Authentication,"Does the organization enforce complexity, length and lifespan considerations to ensure strong criteria for password-base",9,IAC-10.4;IAC-10,,,,
SPO-SESSION-001,Ensure 'Idle session timeout' is set to '3 hours (or less)' for unmanaged devices,SESSION,SharePoint,AC-11;AC-12,FULL,IAC-25,Identification & Authentication,"Does the organization use automated mechanisms to log out users, both locally on the network and for remote sessions, at",9,IAC-24,,,,
EXO-SHARING-001,Ensure 'External sharing' of calendars is not available,SHARING,ExchangeOnline,AC-3;SC-7(10),FULL,NET-03.5,Network Security,Does the organization use automated mechanisms to prevent the unauthorized exfiltration of sensitive/regulated data acro,5,NET-17;IAC-20;NET-12;TDA-18,,,,
ENTRA-ORGSETTING-001,Ensure 'User owned apps and services' is restricted,ORGSETTING,Entra,CM-7;CM-11,FULL,CFG-03,Configuration Management,Does the organization configure systems to provide only essential capabilities by specifically prohibiting or restrictin,10,CFG-05;END-03,,,,
ENTRA-ORGSETTING-002,Ensure internal phishing protection for Forms is enabled,ORGSETTING,Entra,SI-8,FULL,END-08,Endpoint Security,Does the organization utilize anti-phishing and spam protection technologies to detect and take action on unsolicited me,10,,,,,
EXO-LOCKBOX-001,Ensure the customer lockbox feature is enabled,LOCKBOX,ExchangeOnline,AC-3;AC-6,FULL,IAC-21,Identification & Authentication,"Does the organization utilize the concept of least privilege, allowing only authorized access to processes necessary to ",10,IAC-20;TDA-18;NET-12,,,,
ENTRA-ORGSETTING-003,Ensure 'third-party storage services' are restricted in 'Microsoft 365 on the web',ORGSETTING,Entra,CM-7;SC-7(10),FULL,CFG-03,Configuration Management,Does the organization configure systems to provide only essential capabilities by specifically prohibiting or restrictin,10,NET-03.5;NET-17,,,,
SPO-SWAY-001,Ensure that Sways cannot be shared with people outside of your organization,SWAY,SharePoint,AC-3;SC-7(10),FULL,NET-03.5,Network Security,Does the organization use automated mechanisms to prevent the unauthorized exfiltration of sensitive/regulated data acro,5,NET-17;IAC-20;NET-12;TDA-18,,,,
ENTRA-ORGSETTING-004,Ensure shared bookings pages are restricted to select users,ORGSETTING,Entra,AC-3;AC-6,FULL,IAC-21,Identification & Authentication,"Does the organization utilize the concept of least privilege, allowing only authorized access to processes necessary to ",10,IAC-20;TDA-18;NET-12,,,,
DEFENDER-SAFELINKS-001,Ensure Safe Links for Office Applications is Enabled,SAFELINKS,Defender,CM-6a;SI-3a;SI-8,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;CFG-02.7;END-08;END-04.1;VPM-01,,,,
DEFENDER-ANTIMALWARE-001,Ensure the Common Attachment Types Filter is enabled,ANTIMALWARE,Defender,CM-6a;SI-3a;SI-8,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;CFG-02.7;END-08;END-04.1;VPM-01,,,,
DEFENDER-ANTIMALWARE-002,Ensure notifications for internal users sending malware is Enabled,ANTIMALWARE,Defender,SI-3a;SI-4(5),FULL,MON-01.4,Continuous Monitoring,"Does the organization generate, monitor, correlate and respond to alerts from physical, cybersecurity, data protection a",7,END-04;END-04.4;END-04.1;VPM-01;VPM-05,,,,
DEFENDER-SAFEATTACH-001,Ensure Safe Attachments policy is enabled,SAFEATTACH,Defender,CM-6a;SI-3a;SI-8,FULL,END-04,Endpoint Security,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,END-04.4;CFG-02.7;END-08;END-04.1;VPM-01,,,,
